table_name	column_name
ActuarialPremiumSummary	Id
ActuarialPremiumSummary	OpportunityID
ActuarialPremiumSummary	StandardPremium
ActuarialPremiumSummary	MaternityPremium
ActuarialPremiumSummary	DentalPremium
ActuarialPremiumSummary	OpticalPremium
ActuarialPremiumSummary	CongenitalPremium
ActuarialPremiumSummary	VaccinationPremium
ActuarialPremiumSummary	PhysiotherapyPremium
ActuarialPremiumSummary	NeonatalPremium
ActuarialPremiumSummary	BrokerCommission
ActuarialPremiumSummary	LoadingFactor
ActuarialPremiumSummary	CurrentBurningCost
ActuarialPremiumSummary	CredibilityFactor
ActuarialPremiumSummary	ActuarialBookRate
ActuarialPremiumSummary	ActuarialOfficeRate
ActuarialPremiumSummary	CreatedBy
ActuarialPremiumSummary	CreatedDate
ActuarialPremiumSummary_Log	Id
ActuarialPremiumSummary_Log	OpportunityID
ActuarialPremiumSummary_Log	StandardPremium
ActuarialPremiumSummary_Log	MaternityPremium
ActuarialPremiumSummary_Log	DentalPremium
ActuarialPremiumSummary_Log	OpticalPremium
ActuarialPremiumSummary_Log	CongenitalPremium
ActuarialPremiumSummary_Log	VaccinationPremium
ActuarialPremiumSummary_Log	PhysiotherapyPremium
ActuarialPremiumSummary_Log	NeonatalPremium
ActuarialPremiumSummary_Log	BrokerCommission
ActuarialPremiumSummary_Log	LoadingFactor
ActuarialPremiumSummary_Log	CurrentBurningCost
ActuarialPremiumSummary_Log	CredibilityFactor
ActuarialPremiumSummary_Log	ActuarialBookRate
ActuarialPremiumSummary_Log	ActuarialOfficeRate
ActuarialPremiumSummary_Log	CreatedBy
ActuarialPremiumSummary_Log	CreatedDate
AgeBand	ID
AgeBand	Name
AgeBand	AgeFrom
AgeBand	AgeTo
AgeBand	Status
AuditAction	ID
AuditAction	Name
AuditAction	Description
AuditAction	Status
AuditTrail	AuditId
AuditTrail	IPAddress
AuditTrail	AreaAccessed
AuditTrail	Data
AuditTrail	ActionTypeID
AuditTrail	ActionID
AuditTrail	TableName
AuditTrail	RecordID
AuditTrail	AuditDate
AuditTrail	ChangeBy
AuditTrail	ChangeByID
AuditTrail	UserRole
AuditTrail	PostedAuthority
AuditType	ID
AuditType	Name
AuditType	Description
AuditType	Status
AuthorityLevel	ID
AuthorityLevel	RoleID
AuthorityLevel	AuthorityLevel
AuthorityLevel	CreatedBy
